Incidents of Theft from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Upper Lachlan Shire,Stable,95,1216.0,82,1041.3,97,1224.3,95,1193.3,77,967.2
Uralla,Stable,77,1245.0,87,1417.9,82,1345.8,78,1286.7,98,1616.6
Wagga Wagga,Stable,3515,5538.7,3244,5067.1,3059,4746.6,3099,4780.9,3276,5054.0
Walcha,Stable,59,1885.9,44,1404.5,44,1399.9,44,1404.9,34,1085.6
Walgett,Down 9.5% per year,425,6642.1,341,5426.0,380,6159.3,326,5387.5,270,4462.1
Warren,n.c.,121,n.c.,130,n.c.,104,n.c.,135,n.c.,135,n.c.
Warrumbungle Shire,Stable,259,2696.2,270,2829.9,229,2425.0,248,2638.6,270,2872.6
Waverley,Down 3.5% per year,2703,3780.4,2682,3704.5,2356,3202.1,2373,3201.8,2434,3284.1
Weddin,Stable,74,2008.1,47,1282.0,52,1428.0,56,1540.2,32,880.1
Wentworth,Stable,250,3622.5,245,3527.4,255,3648.1,198,2811.7,264,3748.9
Willoughby,Stable,2038,2664.9,2068,2639.2,2101,2629.9,2175,2707.3,2122,2641.3
Wingecarribee,Down 6.7% per year,882,1823.4,889,1808.5,681,1365.5,659,1305.1,697,1380.4
Wollondilly,Down 4.4% per year,615,1257.6,659,1314.4,550,1071.4,547,1047.3,548,1049.2
Wollongong,Down 1.9% per year,6682,3199.3,6436,3048.3,6176,2884.8,6027,2789.4,6391,2957.8
Woollahra,Down 5.6% per year,1272,2209.3,1292,2228.9,1170,1996.1,1137,1928.3,1036,1757.0
Yass Valley,Stable,221,1348.3,207,1245.7,221,1314.6,191,1126.6,182,1073.6
